contractNo,desc,vendorID,vendorName,agency,beginDate,endDate,totalContractAmt,amtSpent,amtRemaining
P514983:0,Parts & Repair Service for Photo Lab Equip.,00008478,"KHALL SOLUTIONS, LLC",POLICE,11/30/2010,11/29/2011,$4900.00,$2532.60,$2367.40
P515003:0,OEM Parts and Service for Gravely and Arien Equipment,00000623,MID ATLANTIC TURF EQUIPMENT LLC,GENERAL SERVICES,10/13/2010,11/07/2011,$4999.00,$4369.70,$629.30
P515020:0,Vehicle Cleaning for R&P,00000508,abc car wash corp,RECREATION & PARKS,10/15/2010,10/14/2012,$4575.00,$980.00,$3595.00
P515033:0,Miscellaneous Electrical Work,00001428,Calmi Electrical Company,City-Wide,08/18/2010,08/17/2013,$650000.00,$253973.17,$396026.83
P515034:0,Miscellaneous Electrical Work,00002178,"Horton Mechanical Contractors, Inc.",City-Wide,08/18/2010,08/17/2013,$700000.00,$310704.91,$389295.09
P515040:0,DHD STD Preg Kits/Speculums,00002685,cole medical inc,HEALTH,10/13/2010,10/12/2011,$5703.00,$5703.00,$0.00
P515044:0,Bookbinding Service,00003107,Wert Bookbinding ,ENOCH PRATT FREE LIBRARY,11/01/2010,10/31/2012,$75000.00,$35000.00,$40000.00
P515045:0,"Laboratory Gases, Chemicals, and Related Supplies",00002734,Fisher Scientific,City-Wide,10/27/2010,10/26/2013,$200000.00,$186014.11,$13985.89
P515050:0,CLINICAL SUPPLIES-N/E,00006019,"Safety Works, Inc.",HEALTH,10/06/2010,10/24/2011,$14720.00,$14720.00,$0.00
P515061:0,OEM Parts and Service for Pierce Fire Apparatus,00017903,Atlantic Emergency Solutions,GENERAL SERVICES,10/06/2010,10/05/2013,$1000000.00,$559819.83,$440180.17
P515069:0,Railroad emergencies & inspecti.,00017635,"Rhinehart Railroad Construction, Inc.",TRANSPORTATION,10/13/2010,10/12/2012,$45540.00,$31716.50,$13823.50
P515074:0,911 Call Center Carpet Cleaning,00000174,"Associated Building Maintenance Co., Inc.",POLICE,10/20/2010,10/19/2011,$4335.00,$0.00,$4335.00
P515085:0,Liquid Chlorine 2010 Univar,00000490,Univar USA Inc.,PUBLIC WORKS,11/01/2010,10/31/2012,$200000.00,$9950.72,$190049.28
P515086:0,Liquid Chlorine 2010 Kuehne,00001304,Kuehne Company,PUBLIC WORKS,11/01/2010,10/31/2012,$1704250.00,$1177531.50,$526718.50
P515093:0,Medical Supplies for Hooper ADC-FY11,00002185,Northern Pharmacy & Medical Equipment,HEALTH,07/01/2010,06/30/2011,$1500.00,$708.75,$791.25
P515093:0,Medical Supplies for Hooper ADC-FY11,00002185,Northern Pharmacy & Medical Equipment,COMM. ON AGING,07/01/2010,06/30/2011,$0.00,$0.00,$0.00
P515118:0,DHD Stat Lab Supplies,00004450,"National Environmental, Inc.",HEALTH,10/25/2010,10/24/2011,$5220.60,$5074.20,$146.40
P515136:0,Unclean Brass Water Meter Scrap: Revenue Contract,00017175,always recycling,City-Wide,09/22/2010,09/21/2012,$0.01,$0.00,$0.01
P515146:0,Third year option for Rent 4536 Edmondson Village,00010394,Edmondson Village,HEALTH,11/01/2010,10/31/2011,$40363.58,$40363.56,$0.02
P515165:0,"Rent for Office Space at 26 N. Fulton Ave, Baltimore MD 21223.   January 1, 2011-December 31, 2011 ",00004200,"Bon Secours of Maryland Foundation, Inc.",HEALTH,01/01/2011,12/31/2012,$5070.60,$5070.60,$0.00
P515168:0,Tasers & Related Equipment,00001978,"Lawmen Supply Company, Inc.",POLICE,10/27/2010,10/26/2011,$230000.00,$14904.95,$215095.05
P515168:0,Tasers & Related Equipment,00001978,"Lawmen Supply Company, Inc.",SHERIFF,10/27/2010,10/26/2011,$15000.00,$0.00,$15000.00
P515168:0,Tasers & Related Equipment,00001978,"Lawmen Supply Company, Inc.",PUBLIC WORKS,10/27/2010,10/26/2011,$5000.00,$0.00,$5000.00
P515180:0,Body Shop Repair Services ,00000176,AL PACKER'S WHITE MARSH FORD,GENERAL SERVICES,11/01/2010,10/31/2013,$375000.00,$37195.52,$337804.48
P515181:0,Body Shop Repair Services ,00000260,R&E body and paint inc/ DBA MAACO ,GENERAL SERVICES,11/01/2010,10/31/2013,$375000.00,$177807.95,$197192.05
P515182:0,Body Shop Repair Services ,00001345,"Beavers' Auto Body repair Center, Inc",GENERAL SERVICES,11/01/2010,10/31/2013,$875000.00,$107445.36,$767554.64
P515183:0,Body Shop Repair Services ,00002066,"C & W Body and Fender Shop, Inc.",GENERAL SERVICES,11/01/2010,10/31/2013,$750000.00,$406958.88,$343041.12
P515184:0,Body Shop Repair Services ,00002557,"Herman Born & Sons, Inc.",GENERAL SERVICES,11/01/2010,10/31/2013,$400000.00,$99124.28,$300875.72
P515185:0,Body Shop Repair Services ,00002602,BALTIMORE FREIGHTLINER,GENERAL SERVICES,11/01/2010,10/31/2013,$500000.00,$105071.74,$394928.26
P515186:0,Body Shop Repair Services ,00005211,Middleton & Meads,GENERAL SERVICES,11/01/2010,10/31/2013,$700000.00,$142098.13,$557901.87
P515187:0,Body Shop Repair Services ,00008867,Valley Chevrolet,GENERAL SERVICES,11/01/2010,10/31/2013,$825000.00,$48957.23,$776042.77
P515188:0,Body Shop Repair Services ,00009136,"Linthicum Ferndale Auto Body, Inc.",GENERAL SERVICES,11/01/2010,10/31/2013,$500000.00,$137166.26,$362833.74
P515189:0,Body Shop Repair Services ,00013011,Donahoo Collision Center LLC,GENERAL SERVICES,11/01/2010,10/31/2013,$325000.00,$93408.08,$231591.92
P515190:0,Body Shop Repair Services ,00014411,Lords Collision Experts trading as Security Auto Body,GENERAL SERVICES,11/01/2010,10/31/2013,$375000.00,$78459.29,$296540.71
P515195:0,Jay's Restaurant  2010-11,00005121,"Jay's Restaurant Group, Inc.",HOUSING & COMMUNITY DEVELOPMENT,11/01/2010,10/31/2011,$13500.00,$13250.71,$249.29
P515198:0,T3B Barricade,00006260,Korman Signs Inc,TRANSPORTATION,10/27/2010,10/26/2011,$20000.00,$2473.00,$17527.00
P515200:0,EHD STD/TB Clinic Gloves/Sanitary Pads,00002581,Amerisochi,HEALTH,10/27/2010,10/26/2011,$9493.60,$8394.70,$1098.90
P515204:0,Yoga Classes Dukeland,00010342,Baltimore Yoga for Youth Program,HOUSING & COMMUNITY DEVELOPMENT,11/01/2010,09/30/2011,$5184.00,$3672.00,$1512.00
P515206:0,DHD STD Clinic Supplies,00002581,Amerisochi,HEALTH,10/27/2010,10/26/2011,$10702.00,$9952.00,$750.00
P515212:0,Traffic Marking Tape,00001540,3M Company,TRANSPORTATION,10/27/2010,10/26/2011,$12150.00,$9720.00,$2430.00
P515213:0,Traffic Marking Tape,00006260,Korman Signs Inc,TRANSPORTATION,10/27/2010,10/26/2011,$12150.00,$0.00,$12150.00
P515214:0,NALOXONE-N/E Program,00002309,McKesson Medical-Surgical Minnesota Supply Inc.,HEALTH,10/27/2010,10/26/2011,$9340.00,$9340.00,$0.00
P515257:0,Preventative Maintenance for Truck Scales ,00001324,Advance Scale Of Maryland,PUBLIC WORKS,11/18/2010,11/17/2012,$12000.00,$1890.00,$10110.00
P515268:0,Landscaping Services-Maintenance,00002145,Living Classrooms Foundation,TRANSPORTATION,11/03/2010,11/02/2012,$90000.00,$61555.05,$28444.95
P515275:0,Charles lobby & door #329,00002562,Stanley Access Technologies,CONVENTION COMPLEX,10/20/2010,10/19/2012,$26185.00,$26185.00,$0.00
P515280:0,Camera Repair Blanket,00001134,Maryland Industrial Trucks,PUBLIC WORKS,11/08/2010,01/28/2011,$4900.00,$1798.00,$3102.00
P515281:0,Medications,00000638,Citizens Pharmacy Services,HEALTH,11/03/2010,11/02/2012,$100000.00,$22185.03,$77814.97
P515282:0,Camera Repair Blanket,00002407,"Atlantic Machinery, Inc.",PUBLIC WORKS,11/08/2010,01/28/2011,$4900.00,$4828.69,$71.31
P515287:0,EMERGENCY MEDICAL TECHNICIANS,00006525,"Lifestar Response of Maryland, Inc.",HEALTH,11/10/2010,11/09/2012,$358000.00,$347921.19,$10078.81
P515310:0,RESTOCK - YEOMAN PUMP PARTS,00002491,"Shafer, Troxwell & Howe",PUBLIC WORKS,11/08/2010,11/07/2012,$120000.00,$62568.96,$57431.04
P515311:0,Picture Framing Glass,00006106,"Designer Glass & Mirror Co., Inc.",POLICE,11/12/2010,11/11/2011,$5000.00,$2397.00,$2603.00
P515312:0,Rotork Valve Actuator parts,00002333,Rotork Controls Inc.,PUBLIC WORKS,11/08/2010,11/12/2012,$40000.00,$6215.00,$33785.00
P515316:0,Blanket Order for Bond Paper,00002358,Xerox Corporation,GENERAL SERVICES,11/03/2010,11/02/2011,$23975.70,$15046.00,$8929.70
P515325:0,IBM Annual Hardware & Software Maintenance,00003649,IBM,MAYOR'S OFFICE OF INFORMATION TECHNOLOGY,11/03/2010,06/30/2015,$1788211.00,$661067.33,$1127143.67
P515327:0,Oxygen Equip Repair Parts/Maintenance,00001131,southeastern emergency equipment,FIRE,11/10/2010,11/09/2011,$8000.00,$1791.00,$6209.00
P515328:0,DHD STD NEEDLES,00000029,Moore Medical LLC,HEALTH,11/10/2010,11/09/2012,$37228.24,$17208.24,$20020.00
P515330:0,"FY11-Lunches for CareGivers training classes, programs and conferences",00017092,JK Roly Poly LLC,HEALTH,12/01/2010,11/30/2011,$5000.00,$645.00,$4355.00
P515360:0,Rental lease for Cherry Hill Ctr - 12th yr.,00005482,"Cherry Hill Town Center, Inc.",HOUSING & COMMUNITY DEVELOPMENT,11/07/2010,11/06/2011,$42747.96,$42747.96,$0.00
P515361:0,Sligo Pumps,00018636,Sligo Systems,PUBLIC WORKS,11/15/2010,11/14/2012,$82000.00,$81965.00,$35.00
P515364:0,WEMCO PUMP PARTS,00004217,Weir Speciality Pumps,PUBLIC WORKS,11/15/2011,11/14/2012,$70000.00,$41575.00,$28425.00
P515379:0,Clearlane Enhanced ,00000315,Cargill Inc. - Deicing Technology Business Unit,City-Wide,11/10/2010,04/30/2011,$80750.00,$79444.28,$1305.72
P515380:0,Lift -Preventative Maintenance,00002566,"united rentals north america, inc",CONVENTION COMPLEX,11/11/2010,11/08/2012,$28800.00,$16356.50,$12443.50
P515385:0,Long distance service Start date 11/27/2010,00002861,PAETEC,COMPTROLLER,11/27/2010,11/26/2013,$400000.00,$400000.00,$0.00
P515400:0,Firefighter Helmets,00000419,Maryland Fire Equipment Corp.,FIRE,12/01/2010,11/30/2015,$300000.00,$129331.84,$170668.16
P515412:0,Animal Food - Carrie Murray Center,00002125,"The Gourmet Rodent, Inc.",RECREATION & PARKS,11/17/2010,11/16/2012,$23094.00,$15645.65,$7448.35
P515417:0,Janitorial Services - 3411 Bank St.,00015799,"PREFERRED CLEANING, LLC",HOUSING & COMMUNITY DEVELOPMENT,12/01/2010,11/30/2011,$8400.00,$8400.00,$0.00
P515419:0,CLINICAL SUPPLIES-N/E,00011903,Point Defiance AIDS Projects/NASEN,HEALTH,11/10/2010,11/09/2012,$36252.00,$19839.20,$16412.80
P515429:0,Hands Free Sanitary Disposal Srv.,00000507,Workplace Essentials,GENERAL SERVICES,11/24/2010,11/23/2011,$9991.00,$9974.97,$16.03
P515436:0,Court Reporting ,00000169,"Free State Reporting, Inc.",MUNICIPAL & ZONING APPEALS,11/01/2011,10/31/2012,$8075.00,$5575.00,$2500.00
P515439:0,Hydrofluosilicic Acid 2010,00000861,"Lucier Chemical Industies Ltd., dba LCI, Lit.",PUBLIC WORKS,11/15/2010,03/26/2011,$1278000.00,$58775.22,$1219224.78
P515462:0,Fire Station Internet Service,00005038,Comcast Business Services,FIRE,11/24/2010,06/29/2012,$74239.20,$73394.10,$845.10
P515472:0,Uniform Caps,00006249,tanen cap co,FIRE,11/24/2010,11/23/2011,$10050.00,$9740.00,$310.00
P515473:0,EMS Pharmaceuticals,00000638,Citizens Pharmacy Services,FIRE,11/24/2010,11/30/2012,$600000.00,$286422.51,$313577.49
P515485:0,Construction Roll-up Signs,00000679,National Capital Industries,City-Wide,11/24/2010,11/23/2011,$30000.00,$28462.50,$1537.50
P515485:0,Construction Roll-up Signs,00000679,National Capital Industries,TRANSPORTATION,11/24/2010,11/23/2011,$18000.00,$10357.05,$7642.95
P515486:0,TRAFFIC SIGNAL CABLES,00009969,Power & Telephone Supply,TRANSPORTATION,11/24/2010,11/23/2012,$225000.00,$110680.00,$114320.00
P515491:0,Transportation Services,00018161,JOEL TRANSPORTATION,HEALTH,09/15/2010,03/31/2011,$2360.00,$0.00,$2360.00
P515517:0,Small & Large Sectional Vaults,00002515,"Mayer Bros., Inc.",PUBLIC WORKS,12/06/2010,12/05/2011,$5175.00,$5175.00,$0.00
P515526:0,Quick Lime 2010,00000724,"Greer Industries, Inc. dba Greer Lime Company",PUBLIC WORKS,01/01/2011,12/31/2012,$947250.00,$536866.69,$410383.31
P515530:0,Blanket Order - Building Maintenance Supplies,00004298,National Lumber Company,PUBLIC WORKS,12/08/2010,12/07/2011,$4999.00,$1703.80,$3295.20
P515545:0,Decals for Fire Apparatus,00000879,"Shannon-Baum Signs, Inc.",FIRE,01/01/2011,12/31/2012,$45000.00,$25802.50,$19197.50
P515562:0,"50' (Foot) -  5"" (Inch) Fire Hose",00001699,F. L. Anderson Company,FIRE,11/22/2010,11/21/2012,$60000.00,$8956.50,$51043.50
P515564:0,"Janitorial Services - 2700 N. Charles St., Ste 202",00015799,"PREFERRED CLEANING, LLC",HOUSING & COMMUNITY DEVELOPMENT,01/03/2011,01/02/2013,$17400.00,$10500.00,$6900.00
P515571:0,"Inlet Heads (A, E,  & H)",00002515,"Mayer Bros., Inc.",PUBLIC WORKS,12/13/2010,12/12/2011,$53000.00,$49784.00,$3216.00
P515574:0,OEM Parts and Service for regenerated filters for Ward Diesel Filter Systems in Vehicles,00003302,Ward Diesel Filter Systems,GENERAL SERVICES,11/25/2010,11/24/2013,$120000.00,$27632.93,$92367.07
P515575:0,SERVICE-MAINTAIN HVAC SYSTEM,00002467,"Siemens Industry, Inc",PUBLIC WORKS,12/08/2010,06/30/2012,$85984.00,$85984.00,$0.00
P515576:0,Adjustable Valve Box w/Lid,00002543,HD SUPPLY,PUBLIC WORKS,12/13/2010,12/12/2012,$29900.00,$10650.00,$19250.00
P515578:0,CUES Camera Repair,00002407,"Atlantic Machinery, Inc.",PUBLIC WORKS,11/30/2010,11/28/2012,$80000.00,$52977.21,$27022.79
P515579:0,CHESTERTON MECH. SEAL,00003144,Frischkorn Inc/ a subsidiary of Ferguson Inc.,PUBLIC WORKS,11/24/2010,11/23/2013,$100000.00,$91658.72,$8341.28
P515591:0,Paper & Styrofoam Luncheon Products ,00001083,LEONARD PAPER CO.,ENOCH PRATT FREE LIBRARY,12/08/2011,12/07/2012,$16800.00,$11170.72,$5629.28
P515600:0,"Various  Ceiling Tiles,wall Angel Etc.",00019043,Global Building Supply,GENERAL SERVICES,12/15/2010,12/14/2011,$14000.00,$10263.04,$3736.96
P515601:0,Various Pipe & Fittings ,00003531,FERGUSON ENTERPRISES,PUBLIC WORKS,11/26/2010,11/25/2011,$25000.00,$0.00,$25000.00
P515603:0,Janitorial Services for Area B,00000174,"Associated Building Maintenance Co., Inc.",GENERAL SERVICES,12/13/2010,11/02/2012,$801067.00,$614058.37,$187008.63
P515603:0,Janitorial Services for Area B,00000174,"Associated Building Maintenance Co., Inc.",POLICE,12/13/2010,11/02/2012,$88000.00,$88000.00,$0.00
P515606:0,Janitorial Services for Area A,00000174,"Associated Building Maintenance Co., Inc.",GENERAL SERVICES,12/13/2010,12/02/2013,$1401228.00,$735359.83,$665868.17
P515607:0,Aftermarket Parts and Repairs to Drive Shaft,00003251,A-1 Drive Shaft East,GENERAL SERVICES,12/15/2010,01/31/2012,$4999.00,$3501.01,$1497.99
P515608:0,O Med Sand for Graffitti Removal,00000464,"Belair Road Supply Co., Inc",PUBLIC WORKS,12/15/2010,12/14/2011,$4995.54,$4995.54,$0.00
P515613:0,Janitorial Service for Area C,00000174,"Associated Building Maintenance Co., Inc.",GENERAL SERVICES,12/13/2010,12/02/2013,$1206492.00,$635610.34,$570881.66
P515633:0,CNG Fueling,00010742,"Commercial Fuel Systems, Inc",GENERAL SERVICES,12/15/2010,12/14/2012,$24000.00,$9318.88,$14681.12
P515640:0,Uni-Gold HIV Test Kits,00003367,Products Unlimited,HEALTH,01/12/2011,01/11/2013,$29112.00,$17286.93,$11825.07
P515646:0,RESTOCK - AQUABELT CONVEYOR PARTS,00004186,Ashbrook Simon-Hartley Operations L.P.,PUBLIC WORKS,12/08/2010,10/06/2013,$100000.00,$54144.40,$45855.60
P515660:0,Janitorial Services- EPFL Branches 5 & 42,00015799,"PREFERRED CLEANING, LLC",ENOCH PRATT FREE LIBRARY,12/01/2011,11/30/2012,$21600.00,$17100.00,$4500.00
P515661:0,Spill Containment Boom ,00018415,Texas Boom Company Inc,PUBLIC WORKS,12/28/2010,12/27/2012,$27111.00,$12111.00,$15000.00
P515663:0,RPR ANTIGEN-BDCL,00002734,Fisher Scientific,HEALTH,12/15/2010,12/14/2012,$54424.66,$52923.04,$1501.62
P515666:0,2011 Cars and Trucks,00005872,APPLE FORD INC.,City-Wide,11/01/2010,07/31/2011,$1725000.00,$639155.00,$1085845.00
P515667:0,2011 Cars and Trucks,00007900,Hertrich Fleet Services,City-Wide,11/01/2010,07/31/2011,$425000.00,$347062.00,$77938.00
P515668:0,Serta Twin Mattresses,00007490,"AW Industries, Inc.",FIRE,12/15/2010,12/14/2011,$12900.00,$0.00,$12900.00
P515669:0,"Propane, Fire Dept",00018096,Thompson Gas & Electric Service Inc.,FIRE,12/15/2010,12/14/2011,$10000.00,$9289.35,$710.65
P515671:0,Fire Helmet Repairs,00000419,Maryland Fire Equipment Corp.,FIRE,12/15/2010,12/14/2011,$15000.00,$4814.00,$10186.00
P515673:0,Laundry & Dry Cleaning Services,00002717,Odonnell Cleaners,POLICE,12/15/2010,12/14/2011,$8500.00,$4686.85,$3813.15
P515674:0,Maintenance of Fire Dept Scuba Equipment,00005984,"Ocean Eye, Inc.",FIRE,12/15/2010,12/14/2011,$12000.00,$10019.39,$1980.61
P515680:0,PM for Geting Autoclae Sterilizer Equip.,00000272,"Getinge USA, Inc.",PUBLIC WORKS,12/28/2010,12/27/2011,$7800.00,$7800.00,$0.00
P515690:0,Dosimetry Services,00019557,"Mirion Technologies (GDS), Inc.",POLICE,10/01/2010,09/30/2011,$2200.00,$1211.76,$988.24
P515691:0,VEOLIA MEDICAL TRANSPORTATION,00001373,Veolia Transportation Services Inc,HEALTH,01/01/2011,12/31/2015,$37500000.00,$11414553.50,$26085446.50
P515692:0,SERVICE CLEANING UNITS,00004248,Safety-Kleen,PUBLIC WORKS,12/28/2010,12/27/2012,$4900.00,$3300.00,$1600.00
P515694:0,Snow Removal Services ,00002237,"P & J Contracting Company, Inc.",City-Wide,12/22/2010,06/30/2013,$200000.00,$0.00,$200000.00
P515695:0,Snow Removal Services ,00002639,"Corporate Maintenance Group, LLC",City-Wide,12/22/2010,06/30/2013,$200000.00,$49823.00,$150177.00
P515696:0,Snow Removal Services ,00005186,H.F.Huber & Son Inc.,City-Wide,12/22/2010,06/30/2013,$50000.00,$0.00,$50000.00
P515697:0,Snow Removal Services ,00015033,Donald Fritts,City-Wide,12/22/2010,06/30/2013,$50000.00,$0.00,$50000.00
P515701:0,Magnesium Chloride (Flakes and Pellets),00018046,Virginia Contractors Supply,City-Wide,01/12/2011,01/11/2012,$24800.00,$13395.22,$11404.78
P515703:0,QUANTIFERON-BDC LAB,00013271,Cellestis Inc,HEALTH,12/22/2010,12/21/2012,$39410.00,$29410.00,$10000.00
P515706:0,Aluminum Sheets,00000534,Vulcan Signs,TRANSPORTATION,12/15/2010,12/14/2011,$130000.00,$63924.00,$66076.00
P515727:0,Channelizer Drum,00000679,National Capital Industries,TRANSPORTATION,12/22/2010,12/21/2011,$15000.00,$5250.00,$9750.00
P515727:0,Channelizer Drum,00000679,National Capital Industries,City-Wide,12/22/2010,12/21/2011,$6000.00,$1750.00,$4250.00
P515735:0,Ventmaster Chainsaws and Parts,00002111,MES/MARYLAND,FIRE,12/22/2010,12/21/2011,$20067.00,$19866.00,$201.00
P515737:0,Providing Senior-Level Accountant Services,00009320,Townsend Careers,FINANCE,01/03/2011,01/02/2012,$35490.00,$35485.45,$4.55
P515738:0,Laboratory Consumables and Non-Hazardous Drug Reagents - Comade,00000122,"Comade, Inc.",POLICE,01/01/2011,12/31/2012,$12000.00,$178.30,$11821.70
P515739:0,Laboratory Consumables and Non-Hazardous Drug Reagents - Fisher Scientific,00002734,Fisher Scientific,POLICE,01/01/2011,12/31/2012,$72000.00,$27245.54,$44754.46
P515740:0,Laboratory Consumables and Non-Hazardous Drug Reagents - Para Scientific,00002920,PARA SCIENTIFIC CO,POLICE,01/01/2011,12/31/2012,$24000.00,$1455.03,$22544.97
P515747:0,Aluminum ladders  and ladder repair,00002432,Aluminum Ladder Co,FIRE,01/03/2011,01/02/2012,$45000.00,$19668.09,$25331.91
P515774:0,Waste Oil Recovery:Revenue Contract,00009912,Hydrocarbon Services DBA FCC Environmental,GENERAL SERVICES,12/22/2010,12/21/2012,$0.01,$0.00,$0.01
P515776:0,Fabricate of Signs & Letters,00019011,Brakes Now Inc,GENERAL SERVICES,12/22/2010,12/21/2011,$8000.00,$0.00,$8000.00
P515782:0,waste management,00000537,"Waste Management of MD, Inc.",HEALTH,01/01/2011,12/31/2011,$949.32,$949.32,$0.00
P515803:0,WAP refrigerator replacements,00009755,"Hawkeye Construction, LLC",HOUSING & COMMUNITY DEVELOPMENT,12/15/2010,12/14/2011,$482755.00,$0.00,$482755.00
P515807:0,METER CONVERTER,00002500,"Flow-Tech, inc",PUBLIC WORKS,01/12/2011,01/09/2013,$16640.00,$6640.00,$10000.00
P515812:0,PGI Fire Fighter Hoods,00000479,NAFECO,FIRE,01/07/2011,01/06/2012,$7976.00,$7952.88,$23.12
P515813:0,i2 Support & Maintenance,00002448,USC Canterbury,POLICE,01/07/2011,01/06/2012,$15524.00,$15524.00,$0.00
P515815:0,Automatic Sprinkler Systems  AFPS,00000062,Advanced Fire Protection Systems,City-Wide,12/15/2010,12/14/2013,$686100.00,$34169.08,$651930.92
P515816:0,"Automatic Sprinkler Systems, Fireline",00000162,Fireline Corporation,City-Wide,12/15/2010,01/14/2013,$200000.00,$37275.45,$162724.55
P515824:0,Furnish and Installation of Glass,00006473,Harmon Inc.,CONVENTION COMPLEX,11/10/2010,11/09/2012,$100000.00,$87626.00,$12374.00
P515831:0,Hach-Reagent Supplies-DPD Powder Pillows and Reagents,00001333,Hach,PUBLIC WORKS,12/15/2010,12/14/2013,$60000.00,$52327.67,$7672.33
P515854:0,Higher Ground Maintenance Agreement,00004736,"HigherGround, Inc",MAYOR'S OFFICE OF INFORMATION TECHNOLOGY,12/22/2010,12/21/2015,$40000.00,$34057.74,$5942.26
P515855:0,Parking for Safe Kids Program,00002783,"Greenwald & Co.,Inc.",HEALTH,12/15/2010,10/12/2012,$69322.00,$48224.00,$21098.00
P515883:0,Repairs to Fire Boat Mayor Thomas D'Alesandro Jr.,00000246,The General Ship Repair Corp.,GENERAL SERVICES,01/12/2011,01/11/2012,$500000.00,$500000.00,$0.00
P515884:0,Dress & Work Uniforms; Fire Department,00000502,"F & F and A.Jacobs & Sons, Inc.",FIRE,01/12/2011,01/11/2013,$1100000.00,$219469.06,$880530.94
P515885:0,Turnout Suspenders,00001699,F. L. Anderson Company,FIRE,01/12/2011,01/11/2013,$200000.00,$17094.00,$182906.00
P515900:0,Janitorial Service - Dukeland Childcare Center,00015799,"PREFERRED CLEANING, LLC",HOUSING & COMMUNITY DEVELOPMENT,02/01/2011,01/31/2013,$32049.60,$20031.00,$12018.60
P515901:0,Truck Chains & Links,00003823,The Baltimore Auto Supply Company,FIRE,01/12/2011,01/11/2012,$40000.00,$33775.22,$6224.78
P515902:0,BPD Custodial Services,00000174,"Associated Building Maintenance Co., Inc.",POLICE,01/01/2011,12/31/2011,$3420.00,$0.00,$3420.00
P515904:0,PM for Stanley Doors,00005890,"Atlantic Door Control, Inc.",CONVENTION COMPLEX,01/26/2011,01/23/2013,$43233.00,$31849.50,$11383.50
P515916:0,Microtox Reagents & Supplies,00002548,Strategic Diagnostics Inc. DBA Modern Water Inc.,PUBLIC WORKS,01/12/2011,01/11/2014,$100000.00,$64644.36,$35355.64
P515917:0,EMT Gear Bags,00002485,Bound Tree Medical LLC,FIRE,01/20/2011,01/19/2012,$22950.00,$9180.00,$13770.00
P515925:0,Service Contract-Skalar 2011,00003389,"Skalar, Inc.",PUBLIC WORKS,02/01/2011,01/31/2013,$25000.00,$11950.00,$13050.00
P515926:0,Software support for LVS-2011,00004068,"LabVantage Solutions, Inc.",PUBLIC WORKS,01/01/2011,12/31/2011,$82175.00,$82175.00,$0.00
P515942:0,Latex & Nitrile Gloves,00001519,"FirstLine, LLC",FIRE,02/01/2011,01/31/2013,$175000.00,$31320.00,$143680.00
P515942:0,Latex & Nitrile Gloves,00001519,"FirstLine, LLC",POLICE,02/01/2011,01/31/2013,$50000.00,$19450.50,$30549.50
P515942:0,Latex & Nitrile Gloves,00001519,"FirstLine, LLC",PUBLIC WORKS,02/01/2011,01/31/2013,$35000.00,$7950.00,$27050.00
P515945:0,TRUCK ACCESSORIES,00002302,acres automotive,GENERAL SERVICES,12/01/2010,11/30/2013,$224000.00,$21911.33,$202088.67
P515946:0,MISC. TRUCK ACCESSORIES,00018440,Annapolis Discount Tires Inc. T/A Trucknstuff     ,GENERAL SERVICES,12/01/2010,11/30/2013,$76000.00,$6087.97,$69912.03
P515955:0,OEM Parts and Service for LTI Ladder Trucks,00016218,Fire Line Equipment LLC,GENERAL SERVICES,01/19/2011,01/18/2014,$200000.00,$40387.48,$159612.52
P515975:0,Monthly Rental-Oliver Sr. Center,00019079,CGH LP,HEALTH,10/01/2010,06/30/2011,$42978.96,$42978.96,$0.00
P515978:0,NuLink International Inc. COPA ,00005898,Nulinx International Inc,HOUSING & COMMUNITY DEVELOPMENT,01/12/2011,01/11/2012,$36000.00,$36000.00,$0.00
P515979:0, STAINLESS STEEL FASTENERS,00000936,"ROBNET, INC",PUBLIC WORKS,01/31/2011,01/28/2013,$10999.00,$7569.80,$3429.20
P515981:0,Janitorial Services- EPFL -Branch #4,00002055,Jani-King of Baltimore,ENOCH PRATT FREE LIBRARY,02/01/2011,01/31/2013,$14184.00,$9456.00,$4728.00
P515982:0,Safety Boots; Fire Department,00002272,Mason-Dixon Fire Equipment,FIRE,01/26/2011,01/25/2013,$600000.00,$287257.60,$312742.40
P515985:0,Janitorial Services - EPFL Branches 7 & 13,00000515,I GIVE QUALITY NOT QUANTITY FLOOR CLEANING SERVICE,ENOCH PRATT FREE LIBRARY,02/01/2011,01/31/2013,$19200.00,$19200.00,$0.00
P515986:0,Toxicity Testing,00010286,coastal bioanalysts inc,PUBLIC WORKS,02/09/2011,02/08/2013,$36696.00,$23182.00,$13514.00
P516004:0,Banner Supplies & Sewing,00001374,F.W. HAXEL CO.,PUBLIC WORKS,02/09/2011,02/08/2013,$19202.00,$10335.00,$8867.00
P516025:0,Concession Operation at Mt. Pleasant Ice Rink: Revenue Contract,00006476,"simply good catering, llc",RECREATION & PARKS,12/08/2010,12/07/2012,$0.01,$0.00,$0.01
P516038:0,Bit by Bit Computer Training,00005103,BIT BY BIT COMPUTER TRAINING,HEALTH,02/01/2011,01/31/2013,$16875.00,$12475.00,$4400.00
P516052:0,Janitorial Services - Steve's Cleaning,00003079,Steve's Cleaning Service Inc,HEALTH,02/01/2011,01/31/2013,$28200.00,$28200.00,$0.00
P516056:0,JANITORIAL SERVICES,00002055,Jani-King of Baltimore,HEALTH,02/03/2011,02/02/2013,$25848.00,$18309.00,$7539.00
